current_price,rating,sold_amount,description
3.31 GEL,4.8,43 sold,New Vintage Transparent Computer Glasses Frame Women Men Anti Blue Light Eyewear Blocking Glasses Optical Spectacle окуляри очки
1 394.85 GEL,,,Industrial Mini PC Core i5 Fanless Dual Display Desktop Computer Windows10 HDMI 6*COM 2*LAN PS/2 SIM Industrial PC
2 453.65 GEL,5.0,5 sold,YSJMNPC Gaming Laptop Computer Intel Core i9-10885H GTX1650 4G i7-9750H 16 Inch IPS Screen 144Hz Refresh Rate RGB Keyboard WiFi
2 495.09 GEL,5.0,2 sold,Topton Dual Screen Gaming Laptop 16 Inch IPS + 14'' Touch Intel i9-10885H I7-10750H Max 64GB 4TB Slim Notebook Gamer PC Computer
1 154.44 GEL,4.7,3 sold,Topton L10 Dual Screen Laptop 15.6 Inch IPS + 7'' Touch 12th Gen Intel N100 Max 32G DDR4 2T SSD Slim Office Notebook PC Computer
6.89 GEL,,,Transparent Computer Glasses No Frame for Women Anti Blue Light Square Eyewear Blocking Glasses Optical Spectacle Eyeglass
985.37 GEL,3.7,,2 in 1 Touch Screen 10.95 Inch 360° Flip Laptop Intel N95 Win 11 Pro 16GB DDR5 2TB SSD Metal for Office Gaming Mini Notebook PC
1 018.57 GEL,,,BLSAY 2025 New 16 Inch Laptop Windows 11 Intel Celeron N5105 Notebook 32GB DDR5 2TB SSD Cheap Portable 1920*1200 Gaming PC HDMI
2 103.13 GEL,4.6,36 sold,15.6 Inch Laptop Intel Core i9-12900H/i9-10885H Windows 11 Por 2*DDR4 2*M.2 SSD Ultrabook Computer Fingerprint Unlock WIFI5 BT
788.97 GEL,4.6,9 sold,10.9 Inch Mini Laptop Intel N95 YOGA Touchscreens 16GB DDR5 2TB SSD HD Camera Backlit Keyboard 360° Fold Protable Tablet Laptop
885.65 GEL,,1 sold,Mini Pocket PC Laptops Yoga 2 IN 1 Notebook 11 Inch Touch Screen Intel N100 32GB DDR4 1TB SSD WiFi5 Netbook Micro PC Computer
1 134.92 GEL,,,Embedded Fanless Industrial Mini BOX PC For Intel J1800 J1900 i5-3317U-5200U i3-4010U-7100U i7-6500U 64GB SSD 6*COM Barebone 12V
985.37 GEL,5.0,4 sold,10.9 Inch Mini Laptop Intel N95 YOGA Touchscreens 16GB LPDDR5 2TB SSD Camera Backlit Keyboard 360° Fold Protable Tablet Laptop
13.68 GEL,,,Anti-Blue Light Glasses For Near-Sighted Radiation Protection Computer Eye-Protection Unisex Trendy Flat Lens Glasses Frame
615.60 GEL,,,805G8 DM Barebones Micro Mini Computer AM4 Dual M.2 Support R3 R5 R7 5700G
4 044.76 GEL,4.5,4 sold,15.6 Inch 12th Gen Intel Gaming Laptop i9 i7 i5 IPS Metal Ultrabook Max 64GB DDR4 4TB NVMe Portable Notebook Office PC Laptops
618.66 GEL,,1 sold,805G8 DM Barebones Micro Mini Computer AM4 Dual M.2 Support R3 R5 R7 5700G
1 281.52 GEL,,,Oushedi 2-in-1 Tablet Laptop 10.9-inch Touch Screen 16GB DDR5 2TB SSD HD Camera Backlit Keyboard 360° Folding Intel N95 Laptop
