asin,title,link,image,rating,review_count,price,delivery
B09MYJ1R6L,Microsoft System Builder | Windоws 11 Home | Intended use for new systems | Install on a new PC | Branded by Microsoft,https://www.amazon.com/Microsoft-Wind%D0%BEws-Home-OEM-DVD/dp/B09MYJ1R6L/ref=sr_1_1?dib=eyJ2IjoiMSJ9.28FRflhOkRPygJw5iTDApRSNsRi3WYgdt9FH_lB2Z8H9qMDP21Vc1Y5L1L0rHl4yGsU2bQfWX6cxffJXLGfnVkf3vvXjfo4zVMMdkjwD6DvcCt7gBd6uDw2H5g-zn2oyWXFCx9WcZWN2luEiZ52ZtspAcAJAkmhFjKhY8XOoLAjvj39A0QGBN2yXUiaRaln5KxUWO2ja-SW_ix-h-bfwuNUp43qBhm63sKBZPO1p8_U.TgTKHU7KnXaXciT23hTTJNbUzy6f2dllDt3GvrQz1Go&dib_tag=se&qid=1748434465&s=software&sr=1-1&srs=16225008011,https://m.media-amazon.com/images/I/61JfosHunyL._AC_UY218_.jpg,4.0 out of 5 stars,"1,856",$119.99,Delivery Jun 30 - Jul 16
B092M5G1G7,Mullvad VPN | 12 Months for 5 Devices | Protect Your Privacy with Easy-To-Use Security VPN Service,https://www.amazon.com/Mullvad-VPN-Windows-Android-SCRATCH/dp/B092M5G1G7/ref=sr_1_2?dib=eyJ2IjoiMSJ9.28FRflhOkRPygJw5iTDApRSNsRi3WYgdt9FH_lB2Z8H9qMDP21Vc1Y5L1L0rHl4yGsU2bQfWX6cxffJXLGfnVkf3vvXjfo4zVMMdkjwD6DvcCt7gBd6uDw2H5g-zn2oyWXFCx9WcZWN2luEiZ52ZtspAcAJAkmhFjKhY8XOoLAjvj39A0QGBN2yXUiaRaln5KxUWO2ja-SW_ix-h-bfwuNUp43qBhm63sKBZPO1p8_U.TgTKHU7KnXaXciT23hTTJNbUzy6f2dllDt3GvrQz1Go&dib_tag=se&qid=1748434465&s=software&sr=1-2&srs=16225008011,https://m.media-amazon.com/images/I/61IHAqDMolL._AC_UY218_.jpg,4.7 out of 5 stars,"1,062",$58.00,N/A
B076VQ4Y4J,"Laplink PCmover Ultimate 11 - Migration of your Applications, Files and Settings from an Old PC to a New PC - Data Transfer Software - With Optional High Speed Ethernet Cable - 1 License",https://www.amazon.com/Laplink-PCmover-Ultimate-Ethernet-Cable/dp/B076VQ4Y4J/ref=sr_1_3?dib=eyJ2IjoiMSJ9.28FRflhOkRPygJw5iTDApRSNsRi3WYgdt9FH_lB2Z8H9qMDP21Vc1Y5L1L0rHl4yGsU2bQfWX6cxffJXLGfnVkf3vvXjfo4zVMMdkjwD6DvcCt7gBd6uDw2H5g-zn2oyWXFCx9WcZWN2luEiZ52ZtspAcAJAkmhFjKhY8XOoLAjvj39A0QGBN2yXUiaRaln5KxUWO2ja-SW_ix-h-bfwuNUp43qBhm63sKBZPO1p8_U.TgTKHU7KnXaXciT23hTTJNbUzy6f2dllDt3GvrQz1Go&dib_tag=se&qid=1748434465&s=software&sr=1-3&srs=16225008011,https://m.media-amazon.com/images/I/6151DZn15uL._AC_UY218_.jpg,4.1 out of 5 stars,"5,601",$39.95,Delivery Jun 30 - Jul 16
B07QCVZW81,"Norton 360 Premium 2025, Antivirus software for 10 Devices with Auto Renewal - Includes VPN, PC Cloud Backup & Dark Web Monitoring [Key card]",https://www.amazon.com/NEW-Norton-360-Premium-Monitoring/dp/B07QCVZW81/ref=sr_1_4?dib=eyJ2IjoiMSJ9.28FRflhOkRPygJw5iTDApRSNsRi3WYgdt9FH_lB2Z8H9qMDP21Vc1Y5L1L0rHl4yGsU2bQfWX6cxffJXLGfnVkf3vvXjfo4zVMMdkjwD6DvcCt7gBd6uDw2H5g-zn2oyWXFCx9WcZWN2luEiZ52ZtspAcAJAkmhFjKhY8XOoLAjvj39A0QGBN2yXUiaRaln5KxUWO2ja-SW_ix-h-bfwuNUp43qBhm63sKBZPO1p8_U.TgTKHU7KnXaXciT23hTTJNbUzy6f2dllDt3GvrQz1Go&dib_tag=se&qid=1748434465&s=software&sr=1-4&srs=16225008011,https://m.media-amazon.com/images/I/71+0sewCxOL._AC_UY218_.jpg,4.2 out of 5 stars,"6,671",$29.99,Delivery Jun 30 - Jul 16
B0DK29FP4Z,"Microsoft Office Home 2024 | One time purchase, 1 Device | Windows 10/11, Mac - Key Card",https://www.amazon.com/Microsoft-Office-purchase-Device-Windows/dp/B0DK29FP4Z/ref=sr_1_5?dib=eyJ2IjoiMSJ9.28FRflhOkRPygJw5iTDApRSNsRi3WYgdt9FH_lB2Z8H9qMDP21Vc1Y5L1L0rHl4yGsU2bQfWX6cxffJXLGfnVkf3vvXjfo4zVMMdkjwD6DvcCt7gBd6uDw2H5g-zn2oyWXFCx9WcZWN2luEiZ52ZtspAcAJAkmhFjKhY8XOoLAjvj39A0QGBN2yXUiaRaln5KxUWO2ja-SW_ix-h-bfwuNUp43qBhm63sKBZPO1p8_U.TgTKHU7KnXaXciT23hTTJNbUzy6f2dllDt3GvrQz1Go&dib_tag=se&qid=1748434465&s=software&sr=1-5&srs=16225008011,https://m.media-amazon.com/images/I/51gGYg2xuwL._AC_UY218_.jpg,4.2 out of 5 stars,70,$147.00,Delivery Jun 30 - Jul 16
B01999U7QY,Synology IP Camera License Pack for 8 (CLP8),https://www.amazon.com/Synology-Camera-License-Pack-CLP8/dp/B01999U7QY/ref=sr_1_6?dib=eyJ2IjoiMSJ9.28FRflhOkRPygJw5iTDApRSNsRi3WYgdt9FH_lB2Z8H9qMDP21Vc1Y5L1L0rHl4yGsU2bQfWX6cxffJXLGfnVkf3vvXjfo4zVMMdkjwD6DvcCt7gBd6uDw2H5g-zn2oyWXFCx9WcZWN2luEiZ52ZtspAcAJAkmhFjKhY8XOoLAjvj39A0QGBN2yXUiaRaln5KxUWO2ja-SW_ix-h-bfwuNUp43qBhm63sKBZPO1p8_U.TgTKHU7KnXaXciT23hTTJNbUzy6f2dllDt3GvrQz1Go&dib_tag=se&qid=1748434465&s=software&sr=1-6&srs=16225008011,https://m.media-amazon.com/images/I/4157QiiGn1L._AC_UY218_.jpg,4.5 out of 5 stars,164,$379.87,Delivery Jun 30 - Jul 16
B0CKQ2FSKR,"Tech-Shop-pro Compatible Key OEM Windo 10 profesional 32/64 Bit USB Installation media onilne activatiation Key C. Install To Factory Fresh, Recover, Intended for newer Systems",https://www.amazon.com/Tech-Shop-pro-Compatible-profesional-Installation-activatiation/dp/B0CKQ2FSKR/ref=sr_1_7?dib=eyJ2IjoiMSJ9.28FRflhOkRPygJw5iTDApRSNsRi3WYgdt9FH_lB2Z8H9qMDP21Vc1Y5L1L0rHl4yGsU2bQfWX6cxffJXLGfnVkf3vvXjfo4zVMMdkjwD6DvcCt7gBd6uDw2H5g-zn2oyWXFCx9WcZWN2luEiZ52ZtspAcAJAkmhFjKhY8XOoLAjvj39A0QGBN2yXUiaRaln5KxUWO2ja-SW_ix-h-bfwuNUp43qBhm63sKBZPO1p8_U.TgTKHU7KnXaXciT23hTTJNbUzy6f2dllDt3GvrQz1Go&dib_tag=se&qid=1748434465&s=software&sr=1-7&srs=16225008011,https://m.media-amazon.com/images/I/61iCyL0DH2L._AC_UY218_.jpg,4.2 out of 5 stars,88,$59.00,Delivery Jun 30 - Jul 16
B0CM4F111Z,"Tech-Shop-pro install Key Included USB For Windows 11 Home Version 32/64 bit. Recover, Restore, Repair Boot USB, and Install to Factory Default Fast and easy Free Technical Support.",https://www.amazon.com/Tech-Shop-pro-install-Included-Technical-Support/dp/B0CM4F111Z/ref=sr_1_8?dib=eyJ2IjoiMSJ9.28FRflhOkRPygJw5iTDApRSNsRi3WYgdt9FH_lB2Z8H9qMDP21Vc1Y5L1L0rHl4yGsU2bQfWX6cxffJXLGfnVkf3vvXjfo4zVMMdkjwD6DvcCt7gBd6uDw2H5g-zn2oyWXFCx9WcZWN2luEiZ52ZtspAcAJAkmhFjKhY8XOoLAjvj39A0QGBN2yXUiaRaln5KxUWO2ja-SW_ix-h-bfwuNUp43qBhm63sKBZPO1p8_U.TgTKHU7KnXaXciT23hTTJNbUzy6f2dllDt3GvrQz1Go&dib_tag=se&qid=1748434465&s=software&sr=1-8&srs=16225008011,https://m.media-amazon.com/images/I/71HHcF-XFtL._AC_UY218_.jpg,3.9 out of 5 stars,113,$59.00,Delivery Jun 30 - Jul 16
B07QFXSQFP,"Norton 360 Deluxe 2025, Antivirus software for 3 Devices with Auto Renewal - Includes VPN, PC Cloud Backup & Dark Web Monitoring [Key Card]",https://www.amazon.com/NEW-Norton-360-Deluxe-Monitoring/dp/B07QFXSQFP/ref=sr_1_9?dib=eyJ2IjoiMSJ9.28FRflhOkRPygJw5iTDApRSNsRi3WYgdt9FH_lB2Z8H9qMDP21Vc1Y5L1L0rHl4yGsU2bQfWX6cxffJXLGfnVkf3vvXjfo4zVMMdkjwD6DvcCt7gBd6uDw2H5g-zn2oyWXFCx9WcZWN2luEiZ52ZtspAcAJAkmhFjKhY8XOoLAjvj39A0QGBN2yXUiaRaln5KxUWO2ja-SW_ix-h-bfwuNUp43qBhm63sKBZPO1p8_U.TgTKHU7KnXaXciT23hTTJNbUzy6f2dllDt3GvrQz1Go&dib_tag=se&qid=1748434465&s=software&sr=1-9&srs=16225008011,https://m.media-amazon.com/images/I/71wzSyueOpL._AC_UY218_.jpg,4.1 out of 5 stars,"2,894",$19.99,Delivery Aug 4 - 12
B091KJH72X,"Corel WordPerfect Office Home & Student 2021 | Office Suite of Word Processor, Spreadsheets & Presentation Software [PC Disc]",https://www.amazon.com/Corel-WordPerfect-Processor-Spreadsheets-Presentation/dp/B091KJH72X/ref=sr_1_10?dib=eyJ2IjoiMSJ9.28FRflhOkRPygJw5iTDApRSNsRi3WYgdt9FH_lB2Z8H9qMDP21Vc1Y5L1L0rHl4yGsU2bQfWX6cxffJXLGfnVkf3vvXjfo4zVMMdkjwD6DvcCt7gBd6uDw2H5g-zn2oyWXFCx9WcZWN2luEiZ52ZtspAcAJAkmhFjKhY8XOoLAjvj39A0QGBN2yXUiaRaln5KxUWO2ja-SW_ix-h-bfwuNUp43qBhm63sKBZPO1p8_U.TgTKHU7KnXaXciT23hTTJNbUzy6f2dllDt3GvrQz1Go&dib_tag=se&qid=1748434465&s=software&sr=1-10&srs=16225008011,https://m.media-amazon.com/images/I/51HxhrJSCfS._AC_UY218_.jpg,4.1 out of 5 stars,"1,179",$94.49,Delivery Jun 30 - Jul 16
